datetime,solarIrradiance,solarEnergy,uvIndex,cloudCover
00:00:00,0.0,0.0,0.0,2.5
01:00:00,0.0,0.0,0.0,2.5
02:00:00,0.0,0.0,0.0,2.5
03:00:00,0.0,0.0,0.0,0.0
04:00:00,0.0,0.0,0.0,0.0
05:00:00,0.0,0.0,0.0,27.8
06:00:00,0.0,0.0,0.0,25.7
07:00:00,26.0,0.1,0.0,4.6
08:00:00,211.0,0.8,2.0,25.7
09:00:00,497.0,1.8,5.0,88.6
10:00:00,608.0,2.2,6.0,94.5
11:00:00,262.0,0.9,3.0,51.9
12:00:00,960.0,3.5,10.0,73.3
13:00:00,981.0,3.5,10.0,54.9
14:00:00,998.0,3.6,10.0,30.2
15:00:00,912.0,3.3,9.0,42.4
16:00:00,895.0,3.2,9.0,51.9
17:00:00,432.0,1.6,4.0,40.9
18:00:00,369.0,1.3,4.0,52.8
19:00:00,77.0,0.3,1.0,9.1
20:00:00,23.0,0.1,0.0,8.3
21:00:00,0.0,0.0,0.0,7.8
22:00:00,0.0,0.0,0.0,4.6
23:00:00,0.0,0.0,0.0,4.6
