Date,Cloud Cover (%),Solar Irradiance (W/m2),Solar Energy (MJ/m2),UV Index
2024-08-01,8.8,298.3,25.7,9.0
2024-08-02,6.5,282.9,24.5,9.0
2024-08-03,20.8,303.3,26.2,10.0
2024-08-04,12.5,298.6,25.9,10.0
2024-08-05,6.3,296.6,25.8,9.0
2024-08-06,14.0,268.1,23.0,10.0
2024-08-07,0.4,290.5,25.2,9.0
2024-08-08,1.8,282.3,24.4,9.0
2024-08-09,23.1,186.9,15.9,7.0
2024-08-10,22.9,210.6,18.3,9.0
2024-08-11,13.3,261.5,22.4,9.0
2024-08-12,5.9,284.1,24.5,9.0
2024-08-13,4.7,286.1,24.8,9.0
2024-08-14,2.6,289.4,25.0,9.0
2024-09-15,12.3,233.5,20.1,8.0
2024-09-16,3.1,237.0,20.6,8.0
2024-09-17,8.9,232.9,20.1,9.0
2024-09-18,13.3,253.2,21.8,9.0
2024-09-19,3.8,238.0,20.7,9.0
2024-09-20,3.3,227.9,19.8,8.0
2024-09-21,13.8,230.7,19.9,8.0
2024-09-22,24.6,198.5,17.2,9.0
