Time (24 Hrs),Cloud Cover (%),Solar Irradiance (W/m2),Solar Energy (MJ/m2),UV Index
00:00:00,3.4,0.0,0.0,0.0
01:00:00,3.4,0.0,0.0,0.0
02:00:00,3.4,0.0,0.0,0.0
03:00:00,3.4,0.0,0.0,0.0
04:00:00,1.7,0.0,0.0,0.0
05:00:00,2.4,0.0,0.0,0.0
06:00:00,1.7,0.0,0.0,0.0
07:00:00,3.4,0.0,0.0,0.0
08:00:00,3.4,28.0,0.1,0.0
09:00:00,6.1,84.0,0.3,1.0
10:00:00,6.1,503.0,1.8,5.0
11:00:00,6.1,659.0,2.4,7.0
12:00:00,45.5,840.0,3.0,8.0
13:00:00,61.2,814.0,2.9,8.0
14:00:00,45.5,828.0,3.0,8.0
15:00:00,44.2,744.0,2.7,7.0
16:00:00,7.4,638.0,2.3,6.0
17:00:00,22.1,169.0,0.6,2.0
18:00:00,4.7,207.0,0.7,2.0
19:00:00,3.0,23.0,0.1,0.0
20:00:00,38.6,0.0,0.0,0.0
21:00:00,8.9,0.0,0.0,0.0
22:00:00,1.7,0.0,0.0,0.0
23:00:00,3.4,0.0,0.0,0.0
